,image name,car_count,timestamp_true,Count,num_timestamp,month_no,month_name,day,day_of_week,day_of_week_name,is_weekend,hour_of_day
624,Kris_0806-1932.png,16,2023-06-08 19:32:00,16,1686252720.0,6,June,8,3,Thursday,0,19
625,Kris_2506-1417.png,17,2023-06-25 14:17:00,17,1687702620.0,6,June,25,6,Sunday,0,14
626,Kris_0408-1243.png,4,2023-08-04 12:43:00,4,1691152980.0,8,August,4,4,Friday,0,12
627,Kris_1006-0910.png,5,2023-06-10 09:10:00,5,1686388200.0,6,June,10,5,Saturday,0,9
628,Kris_1706-1830.png,0,2023-06-17 18:30:00,0,1687026600.0,6,June,17,5,Saturday,0,18
629,Kris_0706-1547.png,36,2023-06-07 15:47:00,36,1686152820.0,6,June,7,2,Wednesday,0,15
630,Kris_1008-0318.png,9,2023-08-10 03:18:00,9,1691637480.0,8,August,10,3,Thursday,0,3
631,Kris_1308-0348.png,0,2023-08-13 03:48:00,0,1691898480.0,8,August,13,6,Sunday,0,3
632,Kris_0706-1447.png,35,2023-06-07 14:47:00,35,1686149220.0,6,June,7,2,Wednesday,0,14
633,Kris_1306-0307.png,10,2023-06-13 03:07:00,10,1686625620.0,6,June,13,1,Tuesday,0,3
634,Kris_0608-0115.png,1,2023-08-06 01:15:00,1,1691284500.0,8,August,6,6,Sunday,0,1
635,Kris_1206-2204.png,10,2023-06-12 22:04:00,10,1686607440.0,6,June,12,0,Monday,0,22
636,Kris_0308-1938.png,1,2023-08-03 19:38:00,1,1691091480.0,8,August,3,3,Thursday,0,19
637,Kris_0308-1106.png,3,2023-08-03 11:06:00,3,1691060760.0,8,August,3,3,Thursday,0,11
638,Kris_0508-1212.png,3,2023-08-05 12:12:00,3,1691237520.0,8,August,5,5,Saturday,0,12
639,Kris_1106-0319.png,11,2023-06-11 03:19:00,11,1686453540.0,6,June,11,6,Sunday,0,3
640,Kris_0808-0631.png,8,2023-08-08 06:31:00,8,1691476260.0,8,August,8,1,Tuesday,0,6
641,Kris_1006-1040.png,20,2023-06-10 10:40:00,20,1686393600.0,6,June,10,5,Saturday,0,10
642,Kris_0608-1018.png,5,2023-08-06 10:18:00,5,1691317080.0,8,August,6,6,Sunday,0,10
643,Kris_2006-1855.png,32,2023-06-20 18:55:00,32,1687287300.0,6,June,20,1,Tuesday,0,18
644,Kris_1906-1434.png,26,2023-06-19 14:34:00,26,1687185240.0,6,June,19,0,Monday,0,14
645,Kris_2606-1643.png,29,2023-06-26 16:43:00,29,1687797780.0,6,June,26,0,Monday,0,16
646,Kris_0508-0540.png,2,2023-08-05 05:40:00,2,1691214000.0,8,August,5,5,Saturday,0,5
647,Kris_0908-0838.png,24,2023-08-09 08:38:00,24,1691570280.0,8,August,9,2,Wednesday,0,8
648,Kris_0508-0410.png,1,2023-08-05 04:10:00,1,1691208600.0,8,August,5,5,Saturday,0,4
649,Kris_0308-0334.png,1,2023-08-03 03:34:00,1,1691033640.0,8,August,3,3,Thursday,0,3
650,Kris_2506-0429.png,11,2023-06-25 04:29:00,11,1687667340.0,6,June,25,6,Sunday,0,4
651,Kris_1206-1832.png,12,2023-06-12 18:32:00,12,1686594720.0,6,June,12,0,Monday,0,18
652,Kris_0906-1345.png,7,2023-06-09 13:45:00,7,1686318300.0,6,June,9,4,Friday,0,13
653,Kris_1206-1554.png,26,2023-06-12 15:54:00,26,1686585240.0,6,June,12,0,Monday,0,15
654,Kris_1408-0554.png,4,2023-08-14 05:54:00,4,1691992440.0,8,August,14,0,Monday,0,5
655,Kris_2406-1716.png,11,2023-06-24 17:16:00,11,1687626960.0,6,June,24,5,Saturday,0,17
656,Kris_1006-0709.png,2,2023-06-10 07:09:00,2,1686380940.0,6,June,10,5,Saturday,0,7
657,Kris_1106-1826.png,16,2023-06-11 18:26:00,16,1686507960.0,6,June,11,6,Sunday,0,18
658,Kris_2506-1045.png,12,2023-06-25 10:45:00,12,1687689900.0,6,June,25,6,Sunday,0,10
